직원,정규직,무기계약직,비정규직,간접고용,,
267948.07,256106.115,11841.955,45317.638000000006,63117.0,,
277937.91,262526.64999999997,15411.26,44106.688,65264.0,,
285996.5449999999,267130.16500000004,18866.38,43597.14000000001,73648.0,,
295536.41800000006,273393.438,22142.98,41780.93999999997,77592.0,,
308094.94500000007,284568.71,23526.235000000004,36499.17,82264.0,,
308466.085,285008.06000000006,23458.024999999994,37408.2225,83328.0,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,